Id,UnimodId,Name,Description,Composition,AvgMass,MonoMass,Site,Position,Classification,SpecGroup,NeutralLoss,LastModified,Approved,Hidden
Acetyl:K,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,K,Anywhere,Multiple,1,FALSE,2017-11-08 16:08:56,TRUE,FALSE
Acetyl:N-term,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,N-term,Any N-term,Multiple,2,FALSE,2017-11-08 16:08:56,TRUE,FALSE
Acetyl:C,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,C,Anywhere,Post-translational,3,FALSE,2017-11-08 16:08:56,TRUE,TRUE
Acetyl:S,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,S,Anywhere,Post-translational,4,FALSE,2017-11-08 16:08:56,TRUE,TRUE
Acetyl:P-N-term,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,N-term,Protein N-term,Post-translational,5,FALSE,2017-11-08 16:08:56,TRUE,FALSE
Acetyl:T,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,T,Anywhere,Post-translational,6,FALSE,2017-11-08 16:08:56,TRUE,TRUE
Acetyl:Y,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,Y,Anywhere,Chemical derivative,7,FALSE,2017-11-08 16:08:56,TRUE,TRUE
Acetyl:H,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,H,Anywhere,Chemical derivative,8,FALSE,2017-11-08 16:08:56,TRUE,TRUE
Acetyl:R,1,Acetyl,Acetylation,H(2) C(2) O,42.0367,42.010565,R,Anywhere,Artefact,9,FALSE,2017-11-08 16:08:56,TRUE,TRUE
Amidated:P-C-term,2,Amidated,Amidation,H N O(-1),-0.9848,-0.984016,C-term,Protein C-term,Post-translational,1,FALSE,2010-06-28 10:52:25,TRUE,FALSE
Amidated:C-term,2,Amidated,Amidation,H N O(-1),-0.9848,-0.984016,C-term,Any C-term,Artefact,2,FALSE,2010-06-28 10:52:25,TRUE,FALSE
